x=-1575.007 y=356.061 z=2473.770
x=-1141.220 y=213.120 z=991.610
x=-1107.850 y=205.330 z=1108.890
x=-1843.050 y=228.520 z=896.310
x=-2020.570 y=227.880 z=545.890
x=-2227.405 y=246.762 z=717.996
x=-1810.190 y=509.890 z=-520.350
x=-1301.790 y=350.630 z=2259.430
x=-961.630 y=433.610 z=2530.560
x=1692.730 y=116.220 z=885.670
x=1366.530 y=112.020 z=1338.460
x=-1081.538 y=386.659 z=2515.238
x=64.330 y=244.010 z=1341.260
x=-683.780 y=259.370 z=1794.000
x=282.210 y=376.810 z=2184.570
x=250.776 y=369.569 z=2279.541
x=129.570 y=417.110 z=2440.220
x=174.230 y=391.920 z=2533.490
x=-950.770 y=458.820 z=2682.910
x=-1639.640 y=426.430 z=2281.110
x=-2253.860 y=301.940 z=1188.560
x=-2644.910 y=454.300 z=1164.310
x=-376.353 y=261.038 z=562.076
x=-2607.210 y=448.370 z=920.980
x=-2599.300 y=452.520 z=1009.780
x=-990.700 y=421.960 z=-531.250
x=-230.920 y=444.820 z=-959.870
x=2344.820 y=60.040 z=-2472.430
x=1292.110 y=100.934 z=1840.957
x=1418.130 y=74.530 z=2548.050
x=2616.610 y=52.610 z=1774.200
x=1060.048 y=121.344 z=2265.286
x=96.155 y=338.486 z=-1164.306
x=-296.495 y=478.984 z=-1346.230
x=1411.135 y=232.805 z=1584.355
x=133.079 y=357.215 z=1949.918
x=848.054 y=146.355 z=2287.975
x=1644.412 y=111.723 z=1610.991
x=140.302 y=253.380 z=131.673
x=932.100 y=394.110 z=304.550
x=28.352 y=366.368 z=-1115.829
x=472.056 y=477.443 z=-2066.745
x=1313.300 y=147.630 z=-1517.380
x=1367.054 y=107.610 z=-2136.264
x=1211.000 y=446.460 z=-656.670
x=1680.764 y=79.747 z=1804.987
x=1397.437 y=85.141 z=1864.045
x=652.968 y=217.064 z=1368.783
x=656.980 y=203.790 z=1273.650
x=-1435.350 y=510.230 z=-1781.630
x=756.630 y=168.880 z=-753.240
x=1598.850 y=152.120 z=-889.120
x=1139.676 y=136.115 z=1205.284
x=-733.963 y=283.572 z=1927.661
x=-992.663 y=330.507 z=1859.412
x=-2227.990 y=245.228 z=2050.786
x=-517.347 y=269.503 z=1795.262
x=-226.948 y=345.536 z=1839.803
x=-227.037 y=357.577 z=1943.042
x=-388.994 y=401.847 z=2173.564
x=-306.405 y=226.367 z=1489.917
x=471.994 y=204.257 z=2646.177
x=-1325.050 y=358.538 z=2156.425
x=-1723 y=501 z=-1870
x=-1348 y=499 z=-1915
x=-319 y=452 z=-2122
x=-680 y=506 z=-2241
x=1970 y=38 z=-223
x=-2044 y=239 z=1415
x=371 y=198 z=-85
x=648 y=174 z=-603
x=649 y=176 z=-693
x=481 y=253 z=-1404
x=-481 y=493 z=-2592
x=-689 y=486 z=-2701
x=-1866 y=494 z=-673
x=-332 y=492 z=-1956
x=858.968 y=159.531 z=2285.392
x=-1181 y=424 z=-91
x=-1135 y=419 z=-71
x=-549 y=459 z=-1150
x=-70 y=451 z=-942
x=734 y=190 z=-775
x=1566 y=107 z=-1923
x=1528 y=111 z=-1881
x=734 y=212 z=-1046
x=2469 y=53 z=-2176
x=2405 y=53 z=-2238
x=-582 y=453 z=-1069
x=-558 y=449 z=-805
x=-366 y=355 z=202
x=-432 y=323 z=334
x=363 y=391 z=2090
x=-343 y=494 z=2609
x=-1005 y=476 z=-945
x=-918 y=494 z=-2162
x=310 y=161 z=-2174
x=567 y=116 z=-2223
x=2079 y=69 z=-1993
x=2348 y=69 z=-2274
x=2418 y=57 z=-2287
x=2516 y=53 z=-1360
x=1621 y=111 z=1375
x=1714 y=108 z=1327
x=1638 y=136 z=1514
x=-462.623 y=483.954 z=-2033.154
x=-88.280 y=476.160 z=-1606.070
x=764.536 y=199.564 z=-1016.012
x=-883.759 y=475.489 z=-1401.854
x=111.830 y=340.590 z=729.240
x=-26.480 y=374.562 z=1805.093
x=1090.780 y=146.450 z=1269.900
x=489.627 y=344.487 z=1254.889
x=464.510 y=365.330 z=1154.760
x=-1406.230 y=500.500 z=-1973.500
x=-926.610 y=512.080 z=-2678.730
x=213.489 y=376.550 z=1832.770
x=699.240 y=311.220 z=2323.000
x=-1666.142 y=478.783 z=-1308.582
x=-2033.229 y=462.072 z=-764.907
x=-1925.320 y=456.109 z=-846.644
x=153.440 y=251.240 z=-94.060
x=63.500 y=254.860 z=367.090
x=111.754 y=174.413 z=598.952
x=-136.580 y=199.900 z=776.250
x=-248.610 y=204.330 z=1005.110
x=-212.100 y=206.060 z=1358.980
x=-1707.390 y=213.620 z=1165.320
x=-827.630 y=397.540 z=-223.330
x=42.820 y=435.570 z=-889.230
x=-1420.120 y=437.960 z=-11.050
x=-513.370 y=492.370 z=-2355.170
x=2685.260 y=41.260 z=-1684.170
x=1663.930 y=147.940 z=610.060
x=1414.820 y=71.520 z=2642.720
x=-1633.190 y=493.410 z=-1884.210
x=-465.648 y=216.483 z=1462.036 under
x=-557.100 y=228.680 z=1571.240
x=-1178 y=566 z=-1107
x=1575.280 y=111.710 z=1215.460
x=634.260 y=174.730 z=-478.900
x=2637.530 y=45.26 z=-1533.320
